,voltage,,,,,,speed (tacho),,,,,,voltage (read),,,,,,speed (from cam),,
potval,run1,run2,run3,run4,run5,average,run1,run2,run3,run4,run5,av (RPM),run1,run2,run3,run4,run5,average,count1,count2,average (interpol)
0,2.32,2.34,2.34,,,2.3333333333,31.7976053057,31.7976053057,31.7976053057,31.7976053057,31.7976053057,31.7976053057,0.49,0.5,0.5,,,0.4966666667,,,
8,2.83,2.85,2.85,,,2.8433333333,63.5952106114,63.5952106114,63.5952106114,63.5952106114,63.5952106114,63.5952106114,0.58,0.67,0.63,,,0.6266666667,,,
16,3.35,3.37,3.37,,,3.3633333333,95.3928159172,127.1904212229,111.29161857,111.29161857,111.29161857,111.29161857,0.77,0.77,0.77,,,0.77,,,
24,3.87,3.9,3.89,,,3.8866666667,143.0892238758,143.0892238758,143.0892238758,143.0892238758,143.0892238758,143.0892238758,0.9,0.91,0.93,,,0.9133333333,246,300,273
32,4.39,4.42,4.2,,,4.3366666667,158.9880265286,158.9880265286,174.8868291815,174.8868291815,174.8868291815,168.5273081203,1,1.05,1.04,,,1.03,,,312
40,4.91,4.94,4.94,,,4.93,206.6844344872,206.6844344872,206.6844344872,206.6844344872,206.6844344872,206.6844344872,1.15,1.15,1.2,,,1.1666666667,354,348,351
48,5.42,5.45,5.45,,,5.44,222.5832371401,254.3808424458,270.2796450986,270.2796450986,270.2796450986,257.5606029764,1.3,1.33,1.35,,,1.3266666667,,,385.5
56,5.94,5.98,5.97,,,5.9633333333,286.1784477515,302.0772504044,302.0772504044,286.1784477515,317.9760530572,298.8974898738,1.43,1.47,1.48,,,1.46,420,420,420
64,6.46,6.5,6.49,,,6.4833333333,349.7736583629,317.9760530572,317.9760530572,349.7736583629,333.8748557101,333.8748557101,1.55,1.62,1.62,,,1.5966666667,,,459
72,6.99,7.02,7.02,,,7.01,349.7736583629,381.5712636687,365.6724610158,381.5712636687,381.5712636687,372.0319820769,1.7,1.75,1.77,,,1.74,492,504,498
80,7.51,7.55,7.55,,,7.5366666667,397.4700663215,413.3688689744,429.2676716272,397.4700663215,429.2676716272,413.3688689744,1.84,1.84,1.92,,,1.8666666667,,,535.5
88,8.03,8.08,8.09,,,8.0666666667,461.065276933,476.9640795858,476.9640795858,445.1664742801,476.9640795858,467.4247979941,1.95,2.03,2.06,,,2.0133333333,570,576,573
96,8.55,8.6,8.65,,,8.6,492.8628822387,476.9640795858,492.8628822387,476.9640795858,492.8628822387,486.5033611775,2.15,2.18,2.18,,,2.17,,,586.5
104,9.12,9.12,9.14,,,9.1266666667,540.5592901973,540.5592901973,556.4580928501,556.4580928501,556.4580928501,550.098571789,2.3,2.32,2.34,,,2.32,600,600,600
112,9.74,9.7,9.68,,,9.7066666667,588.2556981559,604.1545008087,588.2556981559,604.1545008087,620.0533034616,600.9747402781,2.45,2.47,2.47,,,2.4633333333,,,600
120,10.41,10.4,10.4,,,10.4033333333,635.9521061144,651.8509087673,651.8509087673,651.8509087673,667.7497114202,651.8509087673,2.59,2.6,2.6,,,2.5966666667,600,600,600
128,10.69,10.79,11,,,10.8266666667,683.648514073,683.648514073,683.648514073,683.648514073,683.648514073,683.648514073,2.75,2.75,2.75,,,2.75,,,
